"","INDEX","TARGET","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"1",1,2946,0,34,1,12,125301.242537081,"Yes",0,"z_No","z_F","Bachelors","z_Blue Collar",45.7030125817424,"Commercial",17430,1,"Sports Car","no",0,0,"No",0,7,"Highly Urban/ Urban"
"2",2,6477,1,40,1,11,50815.445308043,"Yes",0,"z_No","M","z_High School","Manager",20.5916276508595,"Private",18930,6,"Minivan","no",3295,1,"No",2,1,"Highly Urban/ Urban"
"3",4,2501,0,34,0,10,62977.8241610145,"No",0,"z_No","z_F","Bachelors","Clerical",33.6399491915796,"Private",11200,1,"z_SUV","no",0,0,"No",0,1,"Highly Urban/ Urban"
"4",5,6077,0,53,0,14,77099.9662427782,"No",0,"z_No","z_F","Masters","Lawyer",15.4156756453081,"Private",18300,1,"Sports Car","no",0,0,"No",0,11,"Highly Urban/ Urban"
"5",6,1267,0,53,0,11,130794.574171295,"No",0,"z_No","M","PhD","",63.8386100070406,"Commercial",28340,6,"Panel Truck","yes",0,0,"No",3,10,"Highly Urban/ Urban"
"6",7,2920.16731997648,0,45,0,0,0,"No",106859.369854778,"Yes","z_F","<High School","Home Maker",48.3601914663597,"Private",6000,1,"z_SUV","no",0,0,"No",3,5,"Highly Urban/ Urban"
"7",8,4111,0,59,0,12,87460.0526944008,"No",0,"z_No","M","z_High School","Manager",45.0004875984279,"Private",15420,1,"Minivan","yes",44857,2,"No",4,1,"Highly Urban/ Urban"
"8",11,5247,0,60,0,12,37940.2344178807,"No",182738.854484828,"Yes","z_F","z_High School","z_Blue Collar",15.6659470682511,"Commercial",11290,1,"Sports Car","no",0,0,"No",0,1,"Highly Urban/ Urban"
"9",12,4486,0,32,1,9,31274.7235220485,"No",118160.478604322,"Yes","z_F","z_High School","Clerical",26.3929608324561,"Private",10030,1,"z_SUV","no",0,0,"No",0,1,"Highly Urban/ Urban"
"10",13,4901,0,54,0,12,33212.3896592207,"No",158431.836981852,"Yes","M","<High School","z_Blue Collar",27.490748681899,"Commercial",24000,4,"Panel Truck","no",0,0,"No",5,NA,"Highly Urban/ Urban"
"11",14,6100,0,40,0,11,16988.7213530104,"No",0,"z_No","M","<High School","z_Blue Collar",20.4500158250404,"Commercial",12230,4,"Pickup","yes",26104,1,"Yes",13,6,"Highly Urban/ Urban"
"12",15,6195,1,37,2,13,NA,"Yes",0,"z_No","z_F","z_High School","z_Blue Collar",61.6032081777344,"Commercial",9360,4,"Sports Car","no",0,0,"No",0,NA,"Highly Urban/ Urban"
"13",16,8840.68356825384,0,44,2,15,16352.0293105013,"No",134163.638236303,"Yes","z_F","z_High School","Home Maker",36.7948553924897,"Private",10520,1,"z_SUV","no",7838,1,"No",1,1,"Highly Urban/ Urban"
"14",17,2117,1,45,1,14,63952.1776635953,"No",196367.829886442,"Yes","z_F","Masters","Lawyer",49.5768946818594,"Private",32340,6,"Van","no",27877,2,"Yes",0,13,"Highly Urban/ Urban"
"15",19,3532,1,44,2,NA,24059.721569335,"Yes",0,"z_No","M","Bachelors","Clerical",24.4301981046087,"Private",14220,4,"Minivan","no",0,0,"No",0,10,"Highly Urban/ Urban"
"16",20,866,0,33,4,12,20821.846302905,"No",76022.3885317494,"Yes","z_F","z_High School","Home Maker",45.9077127665424,"Private",6880,13,"z_SUV","no",7896,3,"No",0,1,"Highly Urban/ Urban"
"17",22,5426,0,35,2,12,NA,"Yes",0,"z_No","z_F","<High School","z_Blue Collar",42.5008147347763,"Private",9730,5,"z_SUV","no",0,0,"No",4,4,"Highly Urban/ Urban"
"18",23,4148,2,43,3,11,137102.734181214,"Yes",0,"z_No","z_F","Masters","Manager",28.8003570087211,"Private",19510,1,"Sports Car","no",8890,3,"No",0,15,"Highly Urban/ Urban"
"19",24,2371,1,45,2,11,102393.179879308,"Yes",0,"z_No","M","Bachelors","Professional",24.8679698404235,"Private",1500,1,"Minivan","yes",0,0,"No",2,11,"Highly Urban/ Urban"
"20",25,4178,0,62,0,15,40656.4489906524,"No",208241.600549154,"Yes","z_F","z_High School","Clerical",57.0913745254401,"Private",9170,4,"Sports Car","no",42342,2,"Yes",2,7,"Highly Urban/ Urban"
"21",26,4804,1,37,2,12,NA,"No",205211.453883869,"Yes","z_F","Bachelors","z_Blue Collar",43.0202791023368,"Commercial",5200,1,"z_SUV","no",2718,1,"No",1,3,"Highly Urban/ Urban"
